我家熊孩子不熊 || 点赞16 || 评论804
我可能吃到了一个假苹果。动物园里的猴 || 点赞60 || 评论2997
公司聚餐，喝的有点多，同事回到家的。。女友把我扶到沙发上躺下，喊我几声让我去洗洗睡觉，我闭着眼睛就是不睁眼，女友看我真的睡了，开始脱我裤子，“擦，这娘们平时矜持，这会儿主动了，，”然后“啪啪啪”女友对着我的屁股开始抽“天天被你啪 啪，今天我也要让你尝尝被啪 啪的滋味儿，，”卧 槽。。。地上一只鸭 || 点赞7 || 评论855
没毛病后面是什么？欣欣meimei || 点赞15 || 评论1538
一天，爸爸望着正在写作业的儿子，突然说到：“儿子，爸爸真羡慕你”儿子迷茫地抬起头，表示不懂。爸爸感叹到：“你真幸运啊，什么都不用做就能让你妈妈那么爱你，想当年我可是费了好大劲儿才得到你妈的爱啊” ​​​[诶~][诶~][诶~]曾经沧南难为水～ || 点赞74 || 评论12089
接到领导通知晚上有个订单要出货，需安排人加班。我问同事小伟：想加班吗？ 他说有事说不想加。刚好文员妹纸从外面回办公室，我问她：你想加吗？  她一脸茫然道：我想家，想我爸妈……不懂魔咒的女巫 || 点赞30 || 评论246
十一岁的小侄女气呼呼的从姥姥家回来……“气死我了！我姥家隔壁有个小孩儿，我天天哄他！玩了这么多天，我回家的时候他竟然叫我哥哥！叫阿姨也行啊！怎么能叫哥哥呢？” ……噗……原谅我不厚道的笑了！谁让你没人家漂亮还学人做女汉子……偷惢 || 点赞45 || 评论4655
侄女生病了，要抽血化验。抽血之前嫂子不停的安慰侄女:宝宝不怕，一会就好了。抽血时小家伙儿坚强的不得了，一声没哭，反而嫂子吓的哇哇大哭～于是我那四岁的小侄女一脸无奈的安慰嫂子:妈妈不哭，宝宝一点都不痛～～。哎呦喂，那谁。 || 点赞5 || 评论855
今天，就在今天，我三岁的侄子不知哪根弦搭错了，竟然约架邻居三年级的男孩，还举着他的奶瓶叫嚣:“我们都是成年人了，喝一口水就能把你打倒！”哎呦我去，怎么个情况？然后他被干净利落地KO了我是老王还怕谁 || 点赞19 || 评论2799
邻居老张儿子前几天新婚。今早在菜市场碰见老张老婆和儿子在买菜，就和他们俩打招呼顺便说了一些恭喜的话……。最后我问了老张老婆一句怎么老张和新儿媳妇没陪你们一块出来。老张老婆天生的大嗓门说，老张和儿媳妇还在家睡觉呢，我和儿子出来时他俩还没起床呢……撩波女汉子 || 点赞8 || 评论902
神医压根儿就不是一般人[大笑][大笑][大笑]（转）蛰伏蓄力重生 || 点赞11 || 评论349
终于明白了什么是十赌九输，赌博真的是害人不浅，古人说的对啊！今天脑子一热，一口气输了四万多，现在悔恨交加，我好傻，我恨我自己！当初怎么就迷上它了呢？气的我咬牙把欢乐斗地主给卸载了。。。i江北陈冠希 || 点赞22 || 评论1318
走进老板办公室，我：“老板，我要辞职。” 老板威严道：“给我个理由…” 我：“这里的待遇对不起我的付出…” 老板递给我一支香烟，意味深长道：“你知道吗，当年我媳妇出轨，多次对不起我，我依然忍辱负重，不动声色的维持着婚姻，才有了今天的成就。你是聪明人，我就不多说了，回你的工作岗位上去吧！”我不解道：“因为她的背叛，激发了您的斗志？”老板：“不不不…因为她从那个男人身上骗来好几百万，拿来给我开公司了…”傻晴° || 点赞42 || 评论3252
早上坐公交，正吃着我的面包和酸奶呢，司机一个急刹车，身体惯性往前倾，想着完蛋了要摔破相了，结果后面一小哥哥猛的拉住了我，就在我以为我成功逃过一劫的时候，我却和小哥哥一起滚到了地上……四目相对之下，小哥哥轻声说道:对不起啊妹子，你实在有点胖了，我拉不住……匿名用户 || 点赞19 || 评论1073
晚上挑逗老公，但是半天还是不没反应，我生气别过脸去……老公笑道:我这可是智能鸡，要密码的。我问:“密码是什么？”老公淫笑道：“入口自动解锁”……狸土豆大人 || 点赞40 || 评论1078
午休时间，几个同事凑一起叽叽喳喳讨论女性话题，聊到丰胸和内衣选择时我沉默不语。她们问我怎么不发言，我得意的说：这种平胸话题我完全没有话语权，没体会过你们的烦恼所以没有心得。说完几个老娘们儿就对我一阵袭胸，理由是大胸太柔软了不好，得给我揉紧实点……提莫炮娘 || 点赞8 || 评论112
上厕所喜欢踩着东西 比如矮板凳之类的  糗友解惑（忘拿板凳了）哈※哈※笑 || 点赞26 || 评论2086
两家相邻的药店为了招揽顾客，免费赠送各种青菜，两家药店玩的不亦乐乎，结果把旁边的菜店挤兑的没有了生意。这件事证明了三件事：远亲不如近邻纯属扯淡，同行是冤家是真理，城门失火殃及池鱼，古人诚不欺我！匿名用户 || 点赞19 || 评论1188
还是匿了吧，太伤心。想起去年愚人节，那会儿还有女朋友，就想跟女朋友开个玩笑，我打电话说咱们分手吧，她说好！what？？？劳资还没反应过来，她就挂了电话，拉黑我，微信删除，QQ删除，啥都删除了。。。我隔段时间就打电话，发微信，一直到今年愚人节过了一天了，还是杳无音讯，哎，不能作啊[大哭]吃货最怕饿梦. || 点赞51 || 评论2055
男友下了夜班回来，我躺床上有气无力的对他说：“我发烧了！”男友：“哦！”然后就开始快速的脱衣服我：“我发烧了，你脱衣服干啥？还不去给我买药？”男友一边提裤子，一边说：“原来是发烧了！不是发骚了！”我特么真想掐 死 他，，，兰花沟一霸 || 点赞11 || 评论1705
我三岁的宝贝女儿自己乖乖的玩玩具时，我忍不住掏出手机悄悄的打起了吃鸡，不料被她发现了，兴致勃勃地扑来我身边盯着看，我有些愧疚推开她说“宝宝，别看手机了，对眼睛不好。”于是，女儿伸出她的两只小手，蒙住了我的双眼……自强继强 || 点赞2 || 评论119
春江水暖鸭先知！吃了两碗又盛 || 点赞31 || 评论1006
我一进办公室，同事们以为领导来了，原本喧闹的聊天戛然而止，都装模作样地开始工作。我不禁觉得好笑，就说:真是一鸟入林，百鸟压音啊！一女同事不以为然地说:如果知道是你这小家雀，我们才不会有反应呢！哈哈哈，就我这体型，还小家雀？真会开玩笑！老毒狼行天下 || 点赞15 || 评论1472
单位一女同事春节后说准备考驾照，一有空就在电脑上模拟考科目一，今天空余时间逛某宝了，大家都以为她可以过了，她却说:特么的这个把月模拟考了上百次，没有一次过80分，干脆不考了春天的故事多多多 || 点赞12 || 评论2029
晚上10点，堵在路上，割割割，只见我前面的一辆红色BMW下来一个华丽丽的小妞，手提一个大号袋子装的都是零食，开始向各个车主卖吃的，我也饿了，买了一袋薯条，问原因，答曰：在车里没事，一个人也吃不了，换点拥堵费！吃了两碗又盛 || 点赞11 || 评论1181
儿子学乒乓球，训练间隙我也去比划两下。今天教练讲的是反手拨球，我正一起一伏地重复动作的时候，后面有两个女家长笑出了声，其中一个还小声说:这节奏，幅度，太单调了吧？跟我老公似的。。擦擦擦擦擦！你俩以为我在日球台么？zrey || 点赞15 || 评论490
在godiva打工的时候，也是碰到过几个高中男生来买巧克力，皮肤白净架着眼镜，各式各样的散装选了四百来块吧，真傻啊买礼盒多体面，却这样认真一块一块亲自选拿袋子装好，自己也突然觉得内心柔软不帅但很能干的人 || 点赞109 || 评论4077
老婆有个癖好，看电视时喜欢抠脚，说了好多次她都不理我。今天去她父母家，想着当她父母面好好说道说道～吃过午饭后，大伙坐在一起看电视，我刚想说，猛然发现，老婆，岳父，岳母，包括她那刚刚两岁的小侄子，都在那齐刷刷的抠脚……以梦为马越骑越傻 || 点赞38 || 评论3105
昨夜做梦，梦到刷牙吐泡沫的时候吐出好多血，然后接着又吐了一口口水，接着准备吐第二口的时候已经迷迷糊糊知道是梦，但是收不住了，只好用力吐了出去，正好吐到了女票脸上。还没等我睁开眼，女票一巴掌就呼到了我脸上，怒吼到，你特么又 射 我脸上了！！！跑呀！跑不掉了吧～… || 点赞57 || 评论2347
楼主业务员，推销p os 机的，下午出去跑业务，进到一家小超市，就跟老板介绍我们的p os 机，我说得口沫横飞，老板也很认真地在听，时不时附和几句，我一看有戏呀，说得更带劲了，说得渴了，买了瓶水，掏出手机付款，老板拿起一个p os 机扫了下我的手机！我看着他手里的p os 机凌乱了…花七七… || 点赞10 || 评论1026
在坐公车上，邻座是一个少妇，抱着个小男孩。那个小家伙一直朝我看，忽然莫名其妙的问：“你今天不用去砍树吗？”我一头雾水，不知如何回答。她妈妈转过头看了我一眼，说：“别乱说，他不是光头强。”气氛很尴尬。车到站了，少妇一边下车一边放出拖拉机般的笑声。真难为她了，强忍到下车了才笑出声……别莱譕恙 || 点赞42 || 评论1085
今天同事一起去一女同事家玩，女同事家养了一条萨摩耶名为大白，聊天期间我说这狗真聪明，女同事说:我家大白不仅聪明，而且活好，我一伸脚，它就知道干嘛。我说:那它都会干嘛。女同事回答:晚上她脚一伸，大白马上帮她舔脚。我说:那你腿一张，它是不是也知道舔哪里。没想到她拿起刀追了我半小时，我说错什么了吗？徘徊的老鹰 || 点赞9 || 评论1795
业绩差啊[大哭][大哭]吃了两碗又盛 || 点赞10 || 评论1197
要吃饭了儿子还没写作业，，，隔，，，，媳妇举着勺子问:儿子，盛饭还是盛粥？儿子模仿电视里上位者的语气说:把作业给我呈上来！媳妇看不惯儿子颐气指使的样子，把勺子递给他说:自己盛！不瘦不改名。。 || 点赞55 || 评论4090
爷爷73，奶奶69。老两口吵吵闹闹了一辈子，过年的那几天家里人都在家，给爷爷检查身体，医生说心脏供血不太好。从医院回来之后奶奶就再也没和爷爷吵架，有一天夜里两口子又吵起来了。一家人都去奶奶院里问什么情况。爷爷就说:“神经病，一天天夜里不睡觉一个小时摸一次我鼻子是不是几天没吵架你就找事”奶奶就说:“我是怕你老小子突然死了剩我一个人”。天哥少侠 || 点赞47 || 评论7192
早上收到陌生号码发来的短信；祝你嫂子越来越漂亮~诧异了好久家人回复：您哪位？答：你嫂子！饮最烈的酒、艹最爱… || 点赞49 || 评论688
和芊芊分手后，感觉生无可恋，半个月没出门了，地上全是烟头和酒瓶…… 少有来往的哥们李倾慕过来看我，安慰了我一番后带我来到一家 洗浴 中 心。李倾慕安排了几个 性 感 的 小姐 站在一排让我挑选，小姐 们 阿 谀 谄 媚 的自我介绍:“波哥，我是16号，我叫芊芊，波哥，我是18号，我叫芊芊，波哥，我是23号，我叫芊芊……” 。看着一排的“芊芊”，我冷笑道:“你们不是我的芊芊，我的芊芊 屁股 上有颗红痣…” 众 小姐 撩 起 短 裙 异口同声道:“波哥你看，我们都有……” 。。。︴南琙 || 点赞20 || 评论849
刚才和我师傅一起在钻眼，钻头是一个姓周的老总拿过来的。由于钻头小，所以很容易断。之前也换了2.3个。钻着钻着师傅一个不小心钻头从根部断裂，前面的也不知道飞到哪里去找不到了，让我去仓库里面换一个，我说不去，去了就挨骂。师傅说，过去就说是周总让换的，就不会挨骂了。记住这句话的我就去了仓库。到了仓库阿姨问要拿什么东西，我说换一个2毫米的钻头，周总让我过来拿的。心想这次不会骂我了吧，突然一个声音出现了，我什么时候说这句话了，一转头周总从仓库里出来了。我......花凝雪 || 点赞60 || 评论2277
怀孕六个月的时候，想和老公恩爱一下，老公不同意，说不安全。我哀怨的看着他说：正餐不让我吃是吧？那我去吃零食！裸奔飞天牛 || 点赞27 || 评论939
楼主80后，小时候在农村长大，那时候很迷信的------------割鸡割鸡--------------话说我一个同学也是从小多灾多难，听偏方认了棵百年古树当干爹，每次上下学路过大树的时候都哟呵一声:爹我上学去了[流鼻血]结果那棵活了几百年的树第二年就死了😂老柴家的郡主 || 点赞14 || 评论1012
闺蜜刚换了一份工作，在泰式餐厅当主管。今天告诉我离职不干了，我问她为啥。她说，经理要求客人进来她们要主动说“萨瓦迪卡”，结果脑子一抽说“阿弥陀佛”，经理建议她去寺庙试试……爱上一个傻宝 || 点赞4 || 评论157
今天我们这庙会也是人挤人，几分钟的路上，愣是走了半个多小时。。。合着去跟上辈子的人去擦肩而过了素·敵 || 点赞82 || 评论8055
炖骨头汤失败了，就在群里请教…一男糗友立马回了一大串信息，说的很是专业，大家很是惊讶…平时看他聊天不是打架斗殴就是恶作剧，没想到对料理还挺有研究…没想到这丫来了句： 就是因为经常打架，所以我才学会了炖骨头汤…老李家掌柜的 || 点赞32 || 评论1169
闺蜜最近迷上了十字绣，来家里做客也带着。刚走进屋就把她的半成品摊开在了茶几上，边聊天边绣……老公也凑了过去站在她的身后：啧啧啧！绣的真好……好手法……要不是他色咪咪眼神.伴随着鼻血流下来…还有闺蜜的低胸装…我还真就信了！十里柔情一帘幽梦 || 点赞166 || 评论11688
我老公叫我老婆，孩子叫我老妈，弟弟叫我老姐，我感觉活了这么多年，除了赚了一把年纪一事无成。　　“我发誓，如果现在谁还能夸我一声年轻，哪怕说我一声小，我就给谁当牛做马。”　　我刚发完誓，我妈来电话了。　　“小兔崽子，还不回来吃饭。”　　这就是命!青刺莓 || 点赞10 || 评论955
给熊孩子买了他喜欢的大黄鸭，熊孩子爱不释手：“妈妈，我要送你两个奖励，第一个，我会更聪明，第二，我会更帅!”我说这奖励是不是不对？熊孩子说：“对的，我越来越聪明越来越帅，就是给你最好的奖励呀！”[切][切]软中华400一条 || 点赞32 || 评论944
妹纸寝室聊天，姑娘A：每次来大姨妈胸会变大，来完了又变小姑娘B：那我愿意天天来大姨妈姑娘A：天天来大姨妈那你胸再大又有什么意义呢？瞬间雷得外焦里嫩转一炮定下江山 || 点赞27 || 评论3016
侄媳妇最近生了宝宝，朋友圈发宝宝和侄子合照标题写到：像不像亲生的。底下侄子回复：TMD这不是像不像是必须是啊！吃货最怕饿梦. || 点赞16 || 评论1567
和男友一起逛街，累了我想回家，男友小声问我：咱俩去开房休息好不好？我瞪他一眼大声反驳：开什么房啊，马上到家了！就你现在混的还开的起房吗？刚说完就听见旁边一个帅哥小声嘀咕：比我还丑还穷居然还能约到P！这美女真是眼瞎啊！！星劫 || 点赞44 || 评论5879
跟老婆闹别扭，在家里大吵还摔了东西，丈母娘来赶了，把我们俩人都骂了一顿，我俩赶紧下保证，没有下次了，丈母娘脸色才略有好转。　　谁知道我儿子特别给力，直接来了一句:“姥姥，别信他俩的，该骂继续骂，他俩保证没有屁用，以前还保证只爱我一个，转眼还不是生了老二？”王云（笨笨） || 点赞47 || 评论1238
大学的时候，有金工实习，就是让学生了解并学习使用一些机床。实习的时候，我问老师：机床是床吗？老师说：躺上去感受一下呗。湮郁 || 点赞28 || 评论561
这个碗摔的很有技巧，我给自己满分不怕自己骄傲不帅但很能干的人 || 点赞154 || 评论7584
哥们来医院里问我怎么受伤的，我说第一次去滑冰场，不会滑冰，老婆教了些要领后，自己跟着老婆后面慢慢滑。不一会，由于我速度没控制住，有点快，从后面铲倒了老婆……然后，老婆往后一倒，屁股直接坐在我脸上，鼻子骨折，门牙也掉了…北暮南辞 || 点赞11 || 评论1034
我的爷爷[大笑][大笑]大象赛飞机 || 点赞7 || 评论1022
有道理呀[惊呆了][撞到玻璃]各大影视会员低价 || 点赞34 || 评论1666
上学那会很皮，班主任一个男老师，看我不顺眼，那天我正好牙疼，我在跟别人说话，他走下讲台让我站起来，二话没说就给我一巴掌，我瞬间感觉虽然脸疼但是牙不疼了，顺势把打掉的牙齿吐了出去，从那以后老师的名字传开了。。。。我开始滑稽 || 点赞2 || 评论189
一对情侣吃饭时你喂一口我喂一口，女的说挤点沙拉酱给他，转到后面挤了一勺子奶。男的说他也挤一点沙拉酱，转到后头脱下裤子拿一团纸巾滋啊滋啊滋啊，挤了一勺子精...我叫荀彧不叫狗货 || 点赞18 || 评论1213
晚上女朋友突然对我说:“你太帅了我没安全感，我们分手吧！”我TM这暴脾气一上来就是一巴掌，你特么这理由也太牵强了吧？我长什么样我心里没点逼数吗？爱哭的瓶子 || 点赞12 || 评论1270
我有两个吃货儿子，小小年纪长得人高马大圆肚腩。那天我独自去逛街，看中一套亲子装，可是男童最大号估计俩小子也穿不下，只好买了一套妈妈款给自己、大中小号各一套爸爸款的分别给老公和俩儿子。过几天路过同一间店，听到店主压低声音在跟人说，“快看就是这女的，买套情侣装把男款所有的号都买齐了！”这里好多金汁玉叶 || 点赞11 || 评论993
人到中年就容易骨质疏松，一个朋友从办公室后门走得急了一点，地上有点水，腾空摔了一跤，股骨头骨折，要修养半年到一年。这个故事教育我们，小三找上门的时候不要慌。你家邻居叫马乐 || 点赞28 || 评论1518
有一次跟老婆一起逛街，路上有一块地砖破成了两截，我被绊了一下，以五体投地的姿势摔倒在地上。老婆非说地上有100块钱，我刚刚趴地上就是为了护住那100块钱，言之凿凿！非让我给她分50，不然就扣光我那个月的零花钱。妈的，这也太能扯了！我特么摔了一跤不说，还白白损失50块！软中华400一条 || 点赞10 || 评论453
新生军训的事。我们教官看到我们纪律很差，就捡来几块板砖说，你们再给我动一下，老子我就劈死你……说着就很自信的一手掌劈下那砖头……结果砖头裂都没裂，我们教官保持那姿势数秒后，默默地走了……走了…匿名用户 || 点赞34 || 评论391
今天都是看到这个，特意查一下，给你们科普下，2001年的今天，美国侦察机飞到南海上空领域，然后王伟驾的81192机与美机发生相撞，最终王伟牺牲，美机迫降海南的机场。然后我国把他们飞机拆了研究，但由于国力不够强大，迫于美国压力，最终还是给他们把飞机开回去。这是我们国家落后的耻辱，如果是今天，美机敢开过来应该就回不去了。这里，我们应该铭记民族英雄王伟，铭记耻辱，只有国家强大了，我们才有荣誉感。春天的故事多多多 || 点赞50 || 评论2294
老婆特别喜欢回娘家。割割割，从年三十到今天，我都不记得回过几次了。第一次带的腊肉香肠回来，第二次装的花生核桃回来，第三次带着儿子挣了500红包回来。今天一大早，老丈人打电话把我训了一顿：你就不能把你老婆关紧点么，整天瞎跑什么，我那点家底都快被她折腾光了。华丽的邂逅921 || 点赞18 || 评论894
刚出生！！见笑了哈 || 点赞7 || 评论891
上次我问寝室老大：“老大，开春了，商场里你最想打折的是什么？” 老大沉思良久，说道：“女朋友的腿！”小。骄傲 || 点赞54 || 评论404
我借了同事两千块买手机，结果还钱的时候变成了两千五，同事说清清楚楚的数了两千五给我，我只想说遇到这种事怎么办，我需要强大的组织的帮忙临水清照抚梧桐。 || 点赞32 || 评论1445
公司征文，我爱企业，展现企业风采，要求征集工作照片之类，那天同事登高作业，我就拍了张照片，然后在公司报纸上发布了。也不知道那个领导看到了，罚了同事200。说没有系安全带。然后全公司开安全大会。总感觉我把大伙坑了。。。封了封了 || 点赞64 || 评论1451
朋友A急用钱，想把值80多万的机器贱卖，于是我把朋友B介绍了给A。。。最后四十多万成交了，朋友B让人转交了一张卡给我，里面有200块钱[捂脸][捂脸][捂脸]上凹下凸 || 点赞79 || 评论4910
闺蜜非常臭美，去小餐馆吃饭忍不住和老板搭炫耀：老板，你看我美吗？……老板正色回答：我可是正经人!……就你这模样!超过500我可不干那事儿!雪雪吖 || 点赞28 || 评论1981
昨天男友把我惹生气了，觉得自己好苦，就开始哭。结果哭的停不下来，一边玩保卫萝卜分散注意力，一边抽泣。男友一直沉默的坐在旁边，我看他表情很沉重，  随口问句怎么了，他居然说:“你拐角上怎么不放个塔啊?”这日子还过得下去吗?2016年10月1… || 点赞1 || 评论143
也是没谁了王八与蛋 || 点赞40 || 评论4392
晚上不舒服去挂急诊，看到急诊科的医生为一个孩子诊疗着正在渗血的头部。一旁孩子的母亲怒斥着孩子的父亲道：“你神经病啊！做什么梦啊？饿死鬼投胎啊！把孩子啃成这样！”[捂脸]王云（笨笨） || 点赞35 || 评论1173
大学的时候，我不怎么爱说话，总是一个人安安静静的。大学毕业那天，班里聚会，班主任喝多了指着我说：大学四年，只有她，四年了，一句话都没跟我说过！现在毕业了，有什么想对老师说的吗？我说：老师，你裤子拉链开了。B勃荡漾 || 点赞61 || 评论3178
今天在公厕见一奇葩男，真他妈的比日本人还有礼貌，拉完屎擦了提上裤子很正常吧，可他妈非得对这陀翔鞠一躬再出去匿名用户 || 点赞45 || 评论2021
有感而发，不喜勿喷。我家小女12岁，她上小学时我就在小学门口开了一家理疗店。现在初中了，我的店就搬到初中门口。我们约好了，等她上高中，上大学的时候我的店会一直在学校门口。你自管去飞翔，老爹就一直陪着你飘，等到你生根了，老爹就飘回来。别烦身边这个老东西，一旦有事了，你就会发现这个老东西原来是个超人。爱着你l || 点赞29 || 评论315
见图你笑了么？落丶墨 || 点赞32 || 评论4007
我邻居家孩子，去准丈母娘送礼，准丈母娘拉着他手说，留下来吃饭吧。这熊孩子想去网吧打游戏，不想留下，由于丈母娘再三劝留，他只好吸一口气，说“算了，吃一顿就吃一顿吧，反正毒不死我”。然后就没有然后了。鲲鹏九天 || 点赞3 || 评论981
妈妈唱摇篮曲哄孩子睡觉。两个小时后，见孩子还在翻 腾，妈妈只得继续唱下去。这时只听见孩子说:“ 妈妈，不要再唱了，我早就想睡觉了!”没钱就是糗事 || 点赞19 || 评论1744
同学与领导一起喝酒，喝得尽兴。同学想跟领导套近乎，本想说领导你跟我一个鸟样，说成领导你跟我鸟一个样。第二天早上上班被领导叫到办公室训斥半天，到现在还没出来！我是煮茶 || 点赞27 || 评论3267
体检。一个小伙对一个女孩表白了。女孩笑而不语。女孩去体检下一项。医生对小伙说：“你没戏。”小伙：“你咋知道？”医生：“你心跳一分钟140下，她80。”清泉~小舍~蓝天 || 点赞2 || 评论110
前几天每天蒙上车身，早晨起来，车上一点霜没有，也没下霜，就昨天没蒙，今天早上就成这个样子，哎萌萌*小姐姐 || 点赞40 || 评论3690
盘腿在沙发上看电视，时间长了，腿就麻了。闺蜜给我打电话约我一起吃晚饭，我说：晚饭跟我老公一起吃，腿麻了，不想动。闺蜜坏坏的说：姐，你不要老用蹲姿，你可以换跪姿的！逸尘阿 || 点赞30 || 评论1997
前几天老公喝多了，想起朋友说喝多了第二天都断片，果断啪啪扇了他好几个耳光，一报平时惹我生气的仇，二是真想看看第二天他记不记得，他气哼哼的说:我今天反抗不了，等明天看我咋收拾你……哼，越说我越扇……哈哈哈，第二天他真的不记得了，还感谢我帮他按摩了[晚安睡觉]我决定以后不干涉他喝酒了曾经沧南难为水～ || 点赞29 || 评论2415
早上睡过了头，上班迟到。到厂门口碰到一同事妹纸也迟到，心想：还好有个做伴儿的。  给她打了个招呼：早！同事妹纸长吐一口气对我说：你也迟到了，正好有个伴儿……       我。。王云（笨笨） || 点赞24 || 评论950
一个人逛街，偶遇高中时候的死对头，她老远看见我，挎着她男朋友走过来，说：哟，一个人逛街啊，就你这破脾气，肯定还单身吧？我看了一眼她男朋友，说：哟，好久不见，前任，你还好吗？没等他说话，我冲他脸颊亲了一口，然后我就潇洒的走了……其实我根本不认识她男朋友。然后他俩就吵起来了，吵着吵着就打起来了，打的可刺激了！韶华倾覆三生梦 || 点赞14 || 评论245
昨日河南一个美女乘坐出租车，到了到了目的地以后司机说：“美女，到站了共6块”。司机只听见车门打开的声音，然后司机就很自然的往后看了一眼结果没人，司机很无奈的说：“”真心醉了又有人掉下水道里了，今天我拉了6个人6个人全掉下水道里了，河南井盖上应该上把锁，防止偷井盖。夕冬温存 || 点赞17 || 评论1121
学校门口停车场停车等儿子考试，跟女儿在发语音聊天！隔壁车走下一个女人，趴在我窗户上很凶的喊：你能不能让我睡觉？我懵了一下，然后我说这是停车场公共场合，而且现在又是白天～～她说她车子来的早，不准吵就是不准吵，然后嚣张的甩上车门！莫名其妙被凶一顿，心里好郁闷。没过两分钟，走过一群人 在我们两辆车子外面嘻嘻哈哈吵个不停。这个女人把头伸出来大骂，其中一个暴脾气的小伙子手指着她，叫她滚出来……现在那个女人很乖的躲车子里不说话了。手机电话费不对劲 || 点赞18 || 评论1425
有一天突然接到一女客户电话：你们保险到底保什么啊？答：保意外事故啊。她：那意外怀孕有赔么？我回她道：有现场么？嘟嘟嘟嘟嘟。。。她挂了。。。[捂脸][捂脸][捂脸]_猪是的念来过倒_… || 点赞35 || 评论2292
早上习惯赖床，被闺蜜拉起来说:走，姐请你去吃好吃的。一听到好吃的我就咯噔起来了……她边走边说:昨天愚人节，恰好遇上周末没能陪你，今天给你补上吧！然后拉着我去学校的食堂里啃馒头！艹[生气了][衰]Bullring || 点赞3 || 评论1551
点赞者跟图片里一样，轻松赚大钱Venditore… || 点赞1 || 评论267
洗完澡做了几个俯卧撑，刚爬起来发现边上放了杯水，心想：我草，这水什么时候放在这的，谁放在这的，闹鬼了？！等缓过劲来……才想起来是自己喝完水把杯子放在地上……运动过后的脑缺氧真恐怖。(#ﾟДﾟ)好吃的焦糖饼干……… || 点赞61 || 评论3495
前几天，老公给我买了件外套，花了800。婆婆夸衣服很好看，问多少钱。老公怕婆婆不高兴，就说：网上买的，便宜，才花了180！婆婆一听，果然高兴的笑了：哈哈，儿媳妇，看你公公给我买的大衣，花了1800。你老公不行啊……花凝雪 || 点赞11 || 评论1474
我是个吃货，每天下班都抱着一堆零食吃，刚怀孕有反应的时候，我不知道是怀孕了，在那吐。老公问我：是不是怀孕了？我说：零食吃多了，撑着了！我只想要你知道我 || 点赞46 || 评论1062
身为一个潜水七年的老人，一直分享着大家的快乐，今天第一次发。因为我刚出去的闺女得了一种罕见代谢病：甲基丙二酸合并同型半胱氨酸血症，需要天天打针、吃药，哪位糗友有好的治疗方法，请联系我，谢谢。上凹下凸 || 点赞46 || 评论5014
今天陪老总和客户去吃饭，找了个包房，包房里面自带卫生间……刚开始吃，我就去了趟卫生间，再里面噼里啪啦的乱拉一通，顿时觉得神清气爽……出来后老板黑着脸说：我们换个不带卫生间的包房吧！味大不隔音水吃的下啊！今生唯愛雯 || 点赞6 || 评论427
刚才看到一个没胸穿XZ的，就问老婆，你也没有为什么还要穿，老婆说，那你为什么穿内裤呢……妈蛋，说的我无言以对，第一次发，求过七七luwenji… || 点赞23 || 评论2230
突然想起高一的时候。体育课，男生要测试俯卧撑，呵呵，其中一个同学，膀子没有劲。脸都挣红了，嘴里发出嗯嗯使劲的声音，膀子没劲，腰还可以，只见那腰臀上来下去上来下去，嗯嗯声音不绝无耳，体育老师女已婚，看了捂嘴直笑，我看了默默的转身，这场景太撩人，哈哈超感动人 || 点赞19 || 评论901
几年前一哥们抓了一只鹰，然后各种百度怎么养鹰，后来说要熬鹰，就是不让鹰睡觉，磨掉鹰的傲气。 期间他不睡觉，也不让鹰睡。结果三天后，没错鹰死了。 他顶着黑眼圈说，我熬过来了，鹰没熬过来。。。匿名用户 || 点赞47 || 评论3432
兜里没钱了，打算和女朋友商量要一点，但女朋友正在床边卸妆,不敢惊扰但她，就挪到她身边对她说: 可不可以耽误你三十秒。然后女朋友从床边躺倒了床上，四肢张开。我感觉受到了羞辱!! !吃了两碗又盛 || 点赞11 || 评论839
女同事看我戴了眼镜，问:怎么还戴上眼镜了？蓝光的吗？我不懂什么是蓝光眼镜，为了避免尴尬，只好开玩笑说:不是，是黄光的。女同事一扭头走了，扔下一句话:我说怎么色眯眯的呢！原来你眼里什么都是黄 色的！棉花糖&z… || 点赞7 || 评论157
整理了好久打算捐了、体现他们最后的价值风吹屁股蛋子疼 || 点赞80 || 评论8953
去儿子小学开家长会，老师在讲台上滔滔不绝，我在下面点头哈腰，听的昏昏欲睡。后面有人捅我，我一下子惊醒了，抬头看见老师正盯着我，一脸严肃地讲“有个别学生上课老是睡觉！”我条件反射地坐直了腰，然后拿起儿子的书装模作样地看起来。。。半天才反应过来，踏马老子现在是家长。。。吃货最怕饿梦. || 点赞101 || 评论5356
闺蜜痛经，这段时间一直在喝中药调理，家里给她介绍相亲，去了她挺中意男孩的，可人家男孩不同意，理由是闺蜜一身的中药味，身患大病！这，，，小麦兜～ || 点赞19 || 评论1215
开学式上，校长站在讲台上说:“去年的大扫除是三年级的同学负责的，今年轮到四年级的同学了”………刚升上四年级的我们，总觉得有点怪怪的[我考虑下][我考虑下]浅浅一笑恰逢你来 || 点赞29 || 评论1536
